W_A,C_A,SM_A,SM_F,SM_C,SN_A,SN_F,SN_C,C,AlternativeID
10,10,10,1,1,80,3,1,1250,135
10,10,10,1,1,80,3,1,3500,136
10,10,10,1,1,80,3,2,50,137
10,10,10,1,1,80,3,2,250,138
10,10,10,1,1,80,3,2,1250,139
10,10,10,1,1,80,3,2,3500,140
10,10,10,1,1,80,3,3,50,141
10,10,10,1,1,80,3,3,250,142
10,10,10,1,1,80,3,3,1250,143
10,10,10,1,1,80,3,3,3500,144
10,10,10,1,2,10,1,1,50,145
10,10,10,1,2,10,1,1,250,146
10,10,10,1,2,10,1,1,1250,147
10,10,10,1,2,10,1,1,3500,148
10,10,10,1,2,10,1,2,50,149
10,10,10,1,2,10,1,2,250,150
10,10,10,1,2,10,1,2,1250,151
10,10,10,1,2,10,1,2,3500,152
10,10,10,1,2,10,1,3,50,153
10,10,10,1,2,10,1,3,250,154
10,10,10,1,2,10,1,3,1250,155
10,10,10,1,2,10,1,3,3500,156
10,10,10,1,2,10,2,1,50,157
10,10,10,1,2,10,2,1,250,158
10,10,10,1,2,10,2,1,1250,159
10,10,10,1,2,10,2,1,3500,160
10,10,10,1,2,10,2,2,50,161
10,10,10,1,2,10,2,2,250,162
10,10,10,1,2,10,2,2,1250,163
10,10,10,1,2,10,2,2,3500,164
10,10,10,1,2,10,2,3,50,165
10,10,10,1,2,10,2,3,250,166
10,10,10,1,2,10,2,3,1250,167
10,10,10,1,2,10,2,3,3500,168
10,10,10,1,2,10,3,1,50,169
10,10,10,1,2,10,3,1,250,170
10,10,10,1,2,10,3,1,1250,171
10,10,10,1,2,10,3,1,3500,172
10,10,10,1,2,10,3,2,50,173
10,10,10,1,2,10,3,2,250,174
10,10,10,1,2,10,3,2,1250,175
10,10,10,1,2,10,3,2,3500,176
10,10,10,1,2,10,3,3,50,177
10,10,10,1,2,10,3,3,250,178
10,10,10,1,2,10,3,3,1250,179
10,10,10,1,2,10,3,3,3500,180
10,10,10,1,2,30,1,1,50,181
10,10,10,1,2,30,1,1,250,182
10,10,10,1,2,30,1,1,1250,183
10,10,10,1,2,30,1,1,3500,184
10,10,10,1,2,30,1,2,50,185
10,10,10,1,2,30,1,2,250,186
10,10,10,1,2,30,1,2,1250,187
10,10,10,1,2,30,1,2,3500,188
10,10,10,1,2,30,1,3,50,189
10,10,10,1,2,30,1,3,250,190
10,10,10,1,2,30,1,3,1250,191
10,10,10,1,2,30,1,3,3500,192
10,10,10,1,2,30,2,1,50,193
10,10,10,1,2,30,2,1,250,194
10,10,10,1,2,30,2,1,1250,195
10,10,10,1,2,30,2,1,3500,196
10,10,10,1,2,30,2,2,50,197
10,10,10,1,2,30,2,2,250,198
10,10,10,1,2,30,2,2,1250,199
10,10,10,1,2,30,2,2,3500,200
10,10,10,1,2,30,2,3,50,201
10,10,10,1,2,30,2,3,250,202
10,10,10,1,2,30,2,3,1250,203
10,10,10,1,2,30,2,3,3500,204
10,10,10,1,2,30,3,1,50,205
10,10,10,1,2,30,3,1,250,206
10,10,10,1,2,30,3,1,1250,207
10,10,10,1,2,30,3,1,3500,208
10,10,10,1,2,30,3,2,50,209
10,10,10,1,2,30,3,2,250,210
10,10,10,1,2,30,3,2,1250,211
10,10,10,1,2,30,3,2,3500,212
10,10,10,1,2,30,3,3,50,213
10,10,10,1,2,30,3,3,250,214
10,10,10,1,2,30,3,3,1250,215
10,10,10,1,2,30,3,3,3500,216
10,10,10,1,2,50,1,1,50,217
10,10,10,1,2,50,1,1,250,218
10,10,10,1,2,50,1,1,1250,219
10,10,10,1,2,50,1,1,3500,220
10,10,10,1,2,50,1,2,50,221
10,10,10,1,2,50,1,2,250,222
10,10,10,1,2,50,1,2,1250,223
10,10,10,1,2,50,1,2,3500,224
10,10,10,1,2,50,1,3,50,225
10,10,10,1,2,50,1,3,250,226
10,10,10,1,2,50,1,3,1250,227
10,10,10,1,2,50,1,3,3500,228
10,10,10,1,2,50,2,1,50,229
10,10,10,1,2,50,2,1,250,230
10,10,10,1,2,50,2,1,1250,231
10,10,10,1,2,50,2,1,3500,232
10,10,10,1,2,50,2,2,50,233
10,10,10,1,2,50,2,2,250,234
10,10,10,1,2,50,2,2,1250,235
10,10,10,1,2,50,2,2,3500,236
10,10,10,1,2,50,2,3,50,237
10,10,10,1,2,50,2,3,250,238
10,10,10,1,2,50,2,3,1250,239
10,10,10,1,2,50,2,3,3500,240
10,10,10,1,2,50,3,1,50,241
10,10,10,1,2,50,3,1,250,242
10,10,10,1,2,50,3,1,1250,243
10,10,10,1,2,50,3,1,3500,244
10,10,10,1,2,50,3,2,50,245
