choice situation,alt1.wa,alt1.ca,alt1.sma,alt1.sna,alt1.cost,alt1.sm_f,alt1.sm_c,alt1.sn_f,alt1.sn_c,alt2.wa,alt2.ca,alt2.sma,alt2.sna,alt2.cost,alt2.sm_f,alt2.sm_c,alt2.sn_f,alt2.sn_c
65,,,,,,,,,,80.0,50.0,50.0,50.0,3500.0,2.0,2.0,2.0,2.0
66,,,,,,,,,,30.0,30.0,50.0,30.0,3500.0,1.0,2.0,2.0,1.0
67,,,,,,,,,,50.0,80.0,80.0,80.0,3500.0,1.0,2.0,1.0,2.0
68,,,,,,,,,,80.0,80.0,30.0,50.0,1250.0,2.0,1.0,2.0,2.0
69,,,,,,,,,,80.0,80.0,30.0,50.0,250.0,2.0,2.0,1.0,2.0
70,,,,,,,,,,50.0,30.0,80.0,30.0,3500.0,2.0,2.0,2.0,1.0
71,,,,,,,,,,80.0,80.0,80.0,30.0,250.0,1.0,1.0,2.0,2.0
72,,,,,,,,,,50.0,80.0,80.0,50.0,250.0,2.0,1.0,2.0,1.0
73,,,,,,,,,,50.0,50.0,80.0,50.0,3500.0,2.0,2.0,1.0,2.0
74,,,,,,,,,,50.0,30.0,50.0,80.0,1250.0,1.0,1.0,1.0,1.0
75,,,,,,,,,,80.0,80.0,50.0,50.0,3500.0,2.0,2.0,1.0,1.0
76,,,,,,,,,,30.0,80.0,80.0,50.0,1250.0,2.0,2.0,1.0,1.0
77,,,,,,,,,,80.0,50.0,50.0,80.0,250.0,2.0,2.0,2.0,1.0
78,,,,,,,,,,50.0,30.0,80.0,80.0,3500.0,1.0,2.0,2.0,2.0
79,,,,,,,,,,30.0,50.0,80.0,30.0,100.0,1.0,1.0,2.0,2.0
80,,,,,,,,,,30.0,50.0,30.0,80.0,3500.0,1.0,2.0,1.0,2.0
81,,,,,,,,,,50.0,50.0,50.0,30.0,3500.0,2.0,2.0,2.0,1.0
82,,,,,,,,,,80.0,80.0,50.0,50.0,250.0,2.0,1.0,2.0,1.0
83,,,,,,,,,,80.0,30.0,80.0,30.0,3500.0,1.0,2.0,2.0,2.0
84,,,,,,,,,,50.0,50.0,50.0,50.0,250.0,2.0,1.0,2.0,1.0
85,,,,,,,,,,80.0,50.0,30.0,30.0,1250.0,2.0,2.0,1.0,1.0
86,,,,,,,,,,80.0,50.0,80.0,80.0,1250.0,1.0,2.0,2.0,1.0
87,,,,,,,,,,80.0,80.0,30.0,80.0,250.0,2.0,2.0,2.0,2.0
88,,,,,,,,,,80.0,80.0,0.0,30.0,100.0,0.0,0.0,1.0,1.0
89,,,,,,,,,,80.0,80.0,0.0,80.0,100.0,0.0,0.0,1.0,1.0
90,,,,,,,,,,80.0,50.0,50.0,0.0,250.0,1.0,2.0,0.0,0.0
91,,,,,,,,,,80.0,80.0,50.0,80.0,250.0,1.0,1.0,2.0,1.0
92,,,,,,,,,,80.0,50.0,80.0,80.0,250.0,2.0,1.0,2.0,1.0
93,,,,,,,,,,80.0,80.0,50.0,50.0,3500.0,1.0,1.0,1.0,1.0
94,,,,,,,,,,80.0,80.0,80.0,80.0,100.0,2.0,1.0,1.0,1.0
95,,,,,,,,,,80.0,80.0,50.0,50.0,100.0,2.0,1.0,1.0,1.0
96,,,,,,,,,,80.0,50.0,80.0,80.0,3500.0,1.0,2.0,2.0,2.0
